Deputado Luiz Eduardo Magalhães International Airport	Barreiras Airport	6
Presidente João Batista Figueiredo Airport	Presidente Juscelino Kubistschek International Airport	2
Leite Lopes Airport	Presidente Juscelino Kubistschek International Airport	4
Guarulhos - Governador André Franco Montoro International Airport	Cascavel Airport	2
Santa Genoveva Airport	Marechal Rondon Airport	6
Presidente João Batista Figueiredo Airport	Marechal Rondon Airport	4
Dourados Airport	Campo Grande Airport	2
Guarulhos - Governador André Franco Montoro International Airport	Dourados Airport	2
Leite Lopes Airport	Rio Galeão – Tom Jobim International Airport	2
Leite Lopes Airport	Guarulhos - Governador André Franco Montoro International Airport	6
Mário de Almeida Franco Airport	Guarulhos - Governador André Franco Montoro International Airport	2
Ten. Cel. Aviador César Bombonato Airport	Guarulhos - Governador André Franco Montoro International Airport	6
Vitória da Conquista Airport	Guarulhos - Governador André Franco Montoro International Airport	2
Brigadeiro Lysias Rodrigues Airport	Santa Genoveva Airport	4
Leite Lopes Airport	Santa Genoveva Airport	4
Ten. Cel. Aviador César Bombonato Airport	Santa Genoveva Airport	4
Leite Lopes Airport	Pampulha - Carlos Drummond de Andrade Airport	4
Prof. Eribelto Manoel Reino State Airport	Leite Lopes Airport	6
Ten. Cel. Aviador César Bombonato Airport	Leite Lopes Airport	2
Vitória da Conquista Airport	Deputado Luiz Eduardo Magalhães International Airport	6
Ten. Cel. Aviador César Bombonato Airport	Mário de Almeida Franco Airport	2
Chicago O'Hare International Airport	Southeast Iowa Regional Airport	2
Lambert St Louis International Airport	Southeast Iowa Regional Airport	2
Chicago O'Hare International Airport	Decatur Airport	2
Lambert St Louis International Airport	Decatur Airport	2
Lambert St Louis International Airport	Jonesboro Municipal Airport	2
Metlakatla Seaplane Base	Ketchikan International Airport	6
Léopold Sédar Senghor International Airport	Kotoka International Airport	6
Murtala Muhammed International Airport	Kotoka International Airport	9
Roberts International Airport	Kotoka International Airport	8
Banjul International Airport	Barcelona International Airport	6
Léopold Sédar Senghor International Airport	Banjul International Airport	8
Lungi International Airport	Banjul International Airport	4
Osvaldo Vieira International Airport	Conakry International Airport	4
Douala International Airport	Léopold Sédar Senghor International Airport	2
Lungi International Airport	Léopold Sédar Senghor International Airport	4
Murtala Muhammed International Airport	Léopold Sédar Senghor International Airport	2
Osvaldo Vieira International Airport	Léopold Sédar Senghor International Airport	4
Murtala Muhammed International Airport	Douala International Airport	4
London Gatwick Airport	Lungi International Airport	2
Roberts International Airport	Lungi International Airport	13
Roberts International Airport	Murtala Muhammed International Airport	2
Ivujivik Airport	Akulivik Airport	2
Puvirnituq Airport	Akulivik Airport	2
Kuujjuaq Airport	Kangiqsualujjuaq (Georges River) Airport	2
Kuujjuarapik Airport	La Grande Rivière Airport	2
Puvirnituq Airport	La Grande Rivière Airport	2
Montreal / Pierre Elliott Trudeau International Airport	La Grande Rivière Airport	2
Inukjuak Airport	Kuujjuarapik Airport	1
Sanikiluaq Airport	Kuujjuarapik Airport	2
Umiujaq Airport	Kuujjuarapik Airport	2
Montreal / Pierre Elliott Trudeau International Airport	Kuujjuarapik Airport	2
Rouyn Noranda Airport	Kuujjuarapik Airport	2
Salluit Airport	Ivujivik Airport	2
Aupaluk Airport	Kangirsuk Airport	2
Quaqtaq Airport	Kangirsuk Airport	2
Kuujjuaq Airport	Kangirsuk Airport	2
Quebec Jean Lesage International Airport	Schefferville Airport	2
Kuujjuaq Airport	Schefferville Airport	2
Wabush Airport	Schefferville Airport	4
Sept-Îles Airport	Schefferville Airport	2
Puvirnituq Airport	Inukjuak Airport	2
Umiujaq Airport	Inukjuak Airport	2
Kuujjuaq Airport	Inukjuak Airport	2
Tasiujaq Airport	Aupaluk Airport	2
Kuujjuaq Airport	Aupaluk Airport	2
Kuujjuaq Airport	Puvirnituq Airport	2
Montreal / Pierre Elliott Trudeau International Airport	Quebec Jean Lesage International Airport	8
Kangiqsujuaq (Wakeham Bay) Airport	Quaqtaq Airport	2
Umiujaq Airport	Sanikiluaq Airport	2
Kuujjuaq Airport	Tasiujaq Airport	2
Rouyn Noranda Airport	Montreal / Pierre Elliott Trudeau International Airport	4
Kuujjuaq Airport	Kuujjuarapik Airport	1
Salluit Airport	Kangiqsujuaq (Wakeham Bay) Airport	2
Sept-Îles Airport	Wabush Airport	10
Djibouti-Ambouli Airport	Dubai International Airport	5
Djibouti-Ambouli Airport	King Abdulaziz International Airport	1
Aden Adde International Airport	Djibouti-Ambouli Airport	6
Jomo Kenyatta International Airport	Aden Adde International Airport	4
Singapore Changi Airport	Suvarnabhumi Airport	19
Singapore Changi Airport	Darwin International Airport	8
Singapore Changi Airport	Haikou Meilan International Airport	6
Singapore Changi Airport	Hangzhou Xiaoshan International Airport	2
Singapore Changi Airport	Chek Lap Kok International Airport	16
Singapore Changi Airport	Phuket International Airport	12
Ninoy Aquino International Airport	Kansai International Airport	6
Taiwan Taoyuan International Airport	Kansai International Airport	16
Singapore Changi Airport	Kuala Lumpur International Airport	20
Singapore Changi Airport	Ninoy Aquino International Airport	10
Singapore Changi Airport	Penang International Airport	12
Singapore Changi Airport	Perth International Airport	18
Singapore Changi Airport	Phnom Penh International Airport	9
Singapore Changi Airport	Siem Reap International Airport	8
Singapore Changi Airport	Yangon International Airport	12
Singapore Changi Airport	Tan Son Nhat International Airport	10
Jieyang Chaoshan International Airport	Singapore Changi Airport	2
Taiwan Taoyuan International Airport	Singapore Changi Airport	14
Marina Di Campo Airport	St Gallen Altenrhein Airport	2
Zürich Airport	Dresden Airport	2
Friedrichshafen Airport	Düsseldorf International Airport	2
Friedrichshafen Airport	Marina Di Campo Airport	2
Munich International Airport	Marina Di Campo Airport	2
Zürich Airport	Marina Di Campo Airport	2
Hamburg Airport	Friedrichshafen Airport	2
Olbia Costa Smeralda Airport	Friedrichshafen Airport	2
Berlin-Tegel International Airport	Friedrichshafen Airport	2
Zemunik Airport	Friedrichshafen Airport	2
Naples International Airport	Memmingen Allgau Airport	2
Zürich Airport	Graz Airport	2
Zürich Airport	Salzburg Airport	2
Greenbrier Valley Airport	Hartsfield Jackson Atlanta International Airport	2
Middle Georgia Regional Airport	Hartsfield Jackson Atlanta International Airport	2
Key Field	Hartsfield Jackson Atlanta International Airport	2
Northwest Alabama Regional Airport	Hartsfield Jackson Atlanta International Airport	2
Hattiesburg Laurel Regional Airport	Hartsfield Jackson Atlanta International Airport	2
Tupelo Regional Airport	Hartsfield Jackson Atlanta International Airport	2
Fort Lauderdale Hollywood International Airport	South Bimini Airport	4
Fort Lauderdale Hollywood International Airport	North Eleuthera Airport	4
Palm Beach International Airport	North Eleuthera Airport	4
Fort Lauderdale Hollywood International Airport	Key West International Airport	4
Southwest Florida International Airport	Key West International Airport	4
Tampa International Airport	Key West International Airport	8
Grand Bahama International Airport	Fort Lauderdale Hollywood International Airport	6
Exuma International Airport	Fort Lauderdale Hollywood International Airport	4
Governor's Harbour Airport	Fort Lauderdale Hollywood International Airport	4
Orlando International Airport	Fort Lauderdale Hollywood International Airport	6
Marsh Harbour International Airport	Fort Lauderdale Hollywood International Airport	6
Treasure Cay Airport	Fort Lauderdale Hollywood International Airport	4
Tampa International Airport	Fort Lauderdale Hollywood International Airport	10
Governor's Harbour Airport	Exuma International Airport	2
Tupelo Regional Airport	Mid Delta Regional Airport	2
Orlando International Airport	Gainesville Regional Airport	4
Tampa International Airport	Gainesville Regional Airport	4
Marsh Harbour International Airport	Jacksonville International Airport	4
Tampa International Airport	Jacksonville International Airport	4
Orlando International Airport	Middle Georgia Regional Airport	2
Marsh Harbour International Airport	Orlando International Airport	4
Pensacola Regional Airport	Orlando International Airport	4
Southwest Florida International Airport	Orlando International Airport	4
Tallahassee Regional Airport	Orlando International Airport	4
Palm Beach International Airport	Marsh Harbour International Airport	6
Tampa International Airport	Palm Beach International Airport	4
Tampa International Airport	Pensacola Regional Airport	4
Tampa International Airport	Tallahassee Regional Airport	4
Nador International Airport	Amsterdam Airport Schiphol	4
Ibn Batouta Airport	Amsterdam Airport Schiphol	4
Mohammed V International Airport	Barcelona International Airport	8
Nador International Airport	Barcelona International Airport	8
Ibn Batouta Airport	Barcelona International Airport	8
Mohammed V International Airport	Il Caravaggio International Airport	2
Mohammed V International Airport	Bologna Guglielmo Marconi Airport	4
Mohammed V International Airport	Brussels Airport	6
Nador International Airport	Brussels Airport	4
Ibn Batouta Airport	Brussels Airport	4
Nador International Airport	Cologne Bonn Airport	4
Cuneo International Airport	Mohammed V International Airport	2
London Gatwick Airport	Mohammed V International Airport	4
Lyon Saint-Exupéry Airport	Mohammed V International Airport	6
Montpellier-Méditerranée Airport	Mohammed V International Airport	2
Sabiha Gökçen International Airport	Mohammed V International Airport	2
Toulouse-Blagnac Airport	Mohammed V International Airport	6
Treviso-Sant'Angelo Airport	Mohammed V International Airport	2
Montpellier-Méditerranée Airport	Saïss Airport	2
Ibn Batouta Airport	London Gatwick Airport	2
Nador International Airport	Montpellier-Méditerranée Airport	2
Palma De Mallorca Airport	Nador International Airport	2
Josefa Camejo International Airport	Queen Beatrix International Airport	2
La Chinita International Airport	Queen Beatrix International Airport	4
Hato International Airport	Flamingo International Airport	7
Hato International Airport	Queen Beatrix International Airport	5
Domodedovo International Airport	Astrakhan Airport	4
Pulkovo Airport	Astrakhan Airport	2
Domodedovo International Airport	Bukhara Airport	6
Belgorod International Airport	Domodedovo International Airport	6
Fergana International Airport	Domodedovo International Airport	4
Karshi Khanabad Airport	Domodedovo International Airport	4
Namangan Airport	Domodedovo International Airport	4
Navoi Airport	Domodedovo International Airport	6
Samarkand Airport	Domodedovo International Airport	4
Tivat Airport	Domodedovo International Airport	10
Pointe-à-Pitre Le Raizet	V.C. Bird International Airport	4
Martinique Aimé Césaire International Airport	Cayenne-Rochambeau Airport	4
Las Américas International Airport	Hato International Airport	5
Pointe-à-Pitre Le Raizet	Melville Hall Airport	6
Princess Juliana International Airport	Melville Hall Airport	9
Pointe-à-Pitre Le Raizet	Martinique Aimé Césaire International Airport	9
Las Américas International Airport	Martinique Aimé Césaire International Airport	2
George F. L. Charles Airport	Martinique Aimé Césaire International Airport	9
Gustaf III Airport	Pointe-à-Pitre Le Raizet	4
Las Américas International Airport	Pointe-à-Pitre Le Raizet	6
L'Espérance Airport	Pointe-à-Pitre Le Raizet	6
Princess Juliana International Airport	Pointe-à-Pitre Le Raizet	2
Princess Juliana International Airport	Las Américas International Airport	6
Xi'an Xianyang International Airport	Beihai Airport	2
Chongqing Jiangbei International Airport	Guangzhou Baiyun International Airport	16
Chengdu Shuangliu International Airport	Guangzhou Baiyun International Airport	12
Saipan International Airport	Guangzhou Baiyun International Airport	2
Longjia Airport	Zhengzhou Xinzheng International Airport	6
Chongqing Jiangbei International Airport	Zhengzhou Xinzheng International Airport	12
Chengdu Shuangliu International Airport	Zhengzhou Xinzheng International Airport	10
Hangzhou Xiaoshan International Airport	Zhengzhou Xinzheng International Airport	20
Taiping Airport	Zhengzhou Xinzheng International Airport	14
Kunming Changshui International Airport	Zhengzhou Xinzheng International Airport	14
Ürümqi Diwopu International Airport	Zhengzhou Xinzheng International Airport	18
Nanjing Lukou Airport	Longjia Airport	11
Yaoqiang Airport	Longjia Airport	11
Tianjin Binhai International Airport	Longjia Airport	4
Changsha Huanghua International Airport	Chongqing Jiangbei International Airport	12
Chengdu Shuangliu International Airport	Chongqing Jiangbei International Airport	2
Changzhou Benniu Airport	Chongqing Jiangbei International Airport	4
Zhoushuizi Airport	Chongqing Jiangbei International Airport	2
Dayong Airport	Chongqing Jiangbei International Airport	4
Haikou Meilan International Airport	Chongqing Jiangbei International Airport	10
Hangzhou Xiaoshan International Airport	Chongqing Jiangbei International Airport	12
Phuket International Airport	Chongqing Jiangbei International Airport	4
Yinchuan Airport	Chongqing Jiangbei International Airport	8
Nanchang Changbei International Airport	Chongqing Jiangbei International Airport	8
Kunming Changshui International Airport	Chongqing Jiangbei International Airport	18
Lanzhou Zhongchuan Airport	Chongqing Jiangbei International Airport	6
Lijiang Airport	Chongqing Jiangbei International Airport	14
Lhasa Gonggar Airport	Chongqing Jiangbei International Airport	16
Ningbo Lishe International Airport	Chongqing Jiangbei International Airport	6
Nanjing Lukou Airport	Chongqing Jiangbei International Airport	10
Nanning Wuxu Airport	Chongqing Jiangbei International Airport	8
Beijing Capital International Airport	Chongqing Jiangbei International Airport	12
Shanghai Pudong International Airport	Chongqing Jiangbei International Airport	14
Jieyang Chaoshan International Airport	Chongqing Jiangbei International Airport	2
Sydney Kingsford Smith International Airport	Chongqing Jiangbei International Airport	2
Sanya Phoenix International Airport	Chongqing Jiangbei International Airport	10
Shenzhen Bao'an International Airport	Chongqing Jiangbei International Airport	12
Yaoqiang Airport	Chongqing Jiangbei International Airport	10
